                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 1.5545,                 2.2207,                 1.4779,                0.62077,                0.58204,                0.61466,                0.37968,                 1.4593,                 1.9281,                 1.4773,               0.009692,               0.009692,               0.009692
                     16,                 1.5507,                 2.2163,                 1.4745,                0.65607,                0.56158,                0.62097,                0.38205,                 1.4365,                 1.9594,                  1.487,                0.00967,                0.00967,                0.00967
                     17,                 1.5499,                 2.1974,                 1.4722,                 0.6351,                0.58177,                0.62652,                0.39103,                 1.4468,                 1.9067,                 1.4814,               0.009648,               0.009648,               0.009648
                     18,                 1.5412,                 2.1563,                 1.4597,                0.63212,                0.59081,                0.63068,                 0.3944,                 1.4274,                  1.909,                 1.4804,               0.009626,               0.009626,               0.009626
                     19,                 1.5231,                 2.1076,                 1.4572,                0.64434,                0.60254,                0.64122,                 0.3998,                 1.4336,                 1.8954,                 1.4641,               0.009604,               0.009604,               0.009604
                     20,                 1.5368,                  2.117,                 1.4599,                0.66954,                0.58192,                  0.638,                0.39655,                 1.4326,                 1.8522,                 1.4514,               0.009582,               0.009582,               0.009582
                     21,                 1.5304,                 2.1119,                 1.4605,                0.65349,                0.58232,                0.63277,                 0.3913,                 1.4353,                 1.8762,                 1.4622,                0.00956,                0.00956,                0.00956
                     22,                  1.509,                 2.0821,                 1.4403,                0.69355,                0.58314,                0.65381,                0.40845,                 1.4215,                 1.8518,                 1.4558,               0.009538,               0.009538,               0.009538
                     23,                 1.5048,                 2.0606,                 1.4355,                  0.654,                0.61212,                0.65578,                0.41157,                 1.4298,                 1.8073,                 1.4565,               0.009516,               0.009516,               0.009516
                     24,                 1.5046,                 2.0302,                 1.4369,                0.70552,                0.60146,                 0.6676,                0.41412,                 1.4177,                 1.8084,                 1.4437,               0.009494,               0.009494,               0.009494
                     25,                  1.511,                 2.0513,                   1.44,                0.69605,                0.61037,                0.66986,                0.42107,                 1.4165,                 1.7981,                 1.4406,               0.009472,               0.009472,               0.009472
                     26,                 1.5034,                 2.0189,                  1.429,                0.68066,                0.60816,                0.66918,                0.41927,                 1.3999,                 1.8032,                 1.4506,                0.00945,                0.00945,                0.00945
                     27,                 1.4892,                 1.9878,                  1.421,                0.69132,                0.61012,                0.66904,                0.41864,                 1.4058,                 1.7847,                  1.425,               0.009428,               0.009428,               0.009428
                     28,                 1.4975,                 1.9821,                 1.4194,                0.70632,                0.60628,                0.67083,                0.42241,                 1.3966,                 1.7956,                 1.4305,               0.009406,               0.009406,               0.009406
                     29,                   1.49,                 1.9812,                 1.4106,                0.70625,                0.62399,                0.68197,                0.43134,                 1.3886,                 1.7557,                 1.4291,               0.009384,               0.009384,               0.009384
                     30,                 1.4788,                 1.9444,                 1.4177,                0.69717,                0.61056,                0.67713,                0.42838,                 1.3926,                 1.7494,                 1.4378,               0.009362,               0.009362,               0.009362
                     31,                 1.4776,                 1.9429,                 1.4218,                0.71372,                0.61253,                0.68136,                0.43286,                 1.3939,                 1.7497,                 1.4283,                0.00934,                0.00934,                0.00934
                     32,                 1.4787,                 1.9345,                 1.4136,                0.70419,                0.63031,                0.68868,                0.43592,                 1.3954,                 1.7474,                 1.4244,               0.009318,               0.009318,               0.009318
                     33,                 1.4733,                 1.9176,                 1.4073,                0.69171,                0.63629,                0.68931,                0.43782,                 1.3885,                 1.7407,                 1.4273,               0.009296,               0.009296,               0.009296
                     34,                  1.472,                 1.9038,                 1.4146,                0.71056,                0.63838,                0.69036,                0.43876,                  1.388,                 1.7381,                 1.4351,               0.009274,               0.009274,               0.009274
                     35,                 1.4646,                 1.8698,                 1.4041,                0.71553,                0.63354,                0.69337,                0.44029,                 1.3824,                  1.714,                 1.4151,               0.009252,               0.009252,               0.009252
                     36,                 1.4736,                 1.9156,                 1.4122,                0.72661,                0.63475,                0.69955,                0.44823,                 1.3822,                 1.6944,                 1.4146,                0.00923,                0.00923,                0.00923
                     37,                 1.4618,                 1.8515,                 1.3951,                0.70494,                0.64052,                0.69532,                 0.4414,                 1.3673,                 1.7112,                 1.4174,               0.009208,               0.009208,               0.009208
                     38,                 1.4614,                 1.8694,                 1.4016,                0.72366,                0.62529,                0.69734,                0.44695,                 1.3663,                 1.6969,                 1.4025,               0.009186,               0.009186,               0.009186
                     39,                 1.4579,                 1.8619,                 1.3969,                0.73093,                0.64661,                0.70463,                0.44827,                 1.3719,                 1.6996,                 1.4188,               0.009164,               0.009164,               0.009164
                     40,                 1.4592,                  1.861,                 1.3953,                0.74329,                0.64466,                0.70923,                0.45328,                 1.3609,                 1.6741,                 1.4066,               0.009142,               0.009142,               0.009142
                     41,                 1.4475,                 1.8262,                 1.3915,                0.70572,                0.63452,                0.70204,                0.44864,                  1.374,                 1.6729,                 1.4105,                0.00912,                0.00912,                0.00912
                     42,                  1.457,                 1.8571,                 1.3882,                0.71052,                0.64911,                0.70684,                0.45483,                 1.3576,                  1.664,                 1.3933,               0.009098,               0.009098,               0.009098
                     43,                 1.4408,                 1.8143,                 1.3807,                0.74944,                0.64524,                0.71031,                0.45431,                 1.3662,                 1.6777,                 1.4105,               0.009076,               0.009076,               0.009076
                     44,                  1.443,                 1.7988,                  1.384,                0.72926,                  0.655,                0.71258,                0.45657,                 1.3627,                 1.6397,                 1.3967,               0.009054,               0.009054,               0.009054
                     45,                 1.4311,                 1.7844,                 1.3856,                0.75157,                0.65886,                0.71596,                0.46014,                 1.3596,                 1.6497,                 1.4087,               0.009032,               0.009032,               0.009032
                     46,                 1.4355,                 1.7841,                  1.378,                0.75489,                0.65501,                 0.7214,                0.45832,                 1.3654,                 1.6331,                 1.4043,                0.00901,                0.00901,                0.00901
                     47,                  1.441,                 1.7931,                 1.3916,                0.75052,                0.64199,                0.71326,                0.46036,                 1.3566,                 1.6579,                 1.4091,               0.008988,               0.008988,               0.008988
                     48,                 1.4314,                 1.7572,                 1.3698,                0.74596,                 0.6581,                 0.7222,                0.46531,                 1.3573,                 1.6402,                 1.4026,               0.008966,               0.008966,               0.008966
                     49,                 1.4355,                 1.7887,                 1.3884,                0.75526,                0.66185,                0.72634,                0.46102,                 1.3693,                 1.6374,                 1.3955,               0.008944,               0.008944,               0.008944
                     50,                 1.4289,                 1.7646,                 1.3752,                0.75495,                0.65262,                0.72183,                0.46413,                 1.3538,                 1.6332,                 1.3896,               0.008922,               0.008922,               0.008922
                     51,                  1.429,                 1.7513,                 1.3654,                0.74516,                0.65715,                0.72212,                0.46425,                 1.3639,                 1.6236,                 1.3915,                 0.0089,                 0.0089,                 0.0089
                     52,                 1.4121,                 1.7403,                 1.3685,                0.76717,                0.65216,                0.72404,                0.46854,                  1.339,                 1.6173,                 1.3817,               0.008878,               0.008878,               0.008878
                     53,                 1.4223,                 1.7448,                 1.3626,                0.75868,                0.65216,                0.72663,                0.47012,                 1.3516,                 1.6201,                 1.3934,               0.008856,               0.008856,               0.008856
                     54,                  1.424,                 1.7562,                 1.3713,                 0.7652,                0.66212,                0.73482,                0.47472,                 1.3513,                 1.6094,                 1.3944,               0.008834,               0.008834,               0.008834
                     55,                 1.4309,                 1.7551,                 1.3668,                0.76941,                0.66977,                0.73755,                0.47541,                 1.3505,                 1.5895,                 1.3952,               0.008812,               0.008812,               0.008812
                     56,                 1.4132,                 1.7152,                 1.3695,                0.75567,                0.67484,                0.73775,                0.47606,                 1.3469,                 1.5792,                 1.3845,                0.00879,                0.00879,                0.00879
                     57,                 1.4126,                 1.7217,                 1.3612,                0.76919,                0.66475,                0.73514,                0.47689,                 1.3516,                 1.5884,                 1.3912,               0.008768,               0.008768,               0.008768
                     58,                  1.415,                 1.7203,                 1.3593,                0.74631,                0.67008,                0.72903,                0.46973,                  1.352,                 1.6053,                 1.3897,               0.008746,               0.008746,               0.008746
                     59,                 1.4083,                 1.7043,                 1.3628,                0.76226,                0.67083,                0.73696,                0.47743,                 1.3443,                  1.592,                  1.384,               0.008724,               0.008724,               0.008724
                     60,                 1.4165,                 1.7351,                 1.3645,                0.75118,                0.67159,                0.73209,                0.47509,                 1.3417,                 1.5864,                  1.386,               0.008702,               0.008702,               0.008702
                     61,                 1.4155,                 1.7319,                 1.3606,                0.74863,                   0.69,                0.74103,                0.48703,                  1.338,                 1.5634,                 1.3763,                0.00868,                0.00868,                0.00868
                     62,                 1.4024,                 1.6943,                 1.3591,                 0.7368,                0.67665,                0.72939,                0.47457,                 1.3425,                 1.5807,                 1.3781,               0.008658,               0.008658,               0.008658
                     63,                 1.4059,                 1.7018,                 1.3537,                0.74445,                0.68106,                0.73479,                0.47759,                 1.3345,                 1.5701,                 1.3793,               0.008636,               0.008636,               0.008636
                     64,                 1.4108,                 1.7178,                 1.3642,                0.76174,                0.66742,                  0.735,                0.47613,                 1.3448,                 1.5647,                 1.3833,               0.008614,               0.008614,               0.008614
                     65,                 1.4059,                 1.6977,                 1.3541,                 0.7724,                0.66892,                0.74416,                0.48394,                 1.3351,                 1.5623,                 1.3673,               0.008592,               0.008592,               0.008592
                     66,                 1.4122,                 1.6923,                 1.3553,                0.76637,                0.67922,                0.74045,                0.48325,                 1.3355,                 1.5588,                 1.3847,                0.00857,                0.00857,                0.00857
                     67,                 1.3989,                 1.6723,                 1.3417,                0.76098,                0.66865,                0.73695,                0.47951,                 1.3428,                 1.5738,                 1.3778,               0.008548,               0.008548,               0.008548
                     68,                 1.4018,                 1.6884,                  1.355,                0.77559,                0.68189,                0.74327,                0.48535,                  1.331,                 1.5529,                 1.3734,               0.008526,               0.008526,               0.008526
                     69,                 1.4034,                 1.6896,                 1.3476,                0.75302,                0.67897,                0.74169,                0.48366,                 1.3325,                 1.5537,                 1.3773,               0.008504,               0.008504,               0.008504
                     70,                 1.4035,                  1.674,                 1.3526,                 0.7351,                 0.6826,                0.73843,                0.48228,                 1.3282,                 1.5609,                 1.3717,               0.008482,               0.008482,               0.008482
                     71,                 1.3962,                   1.67,                 1.3489,                  0.755,                0.68298,                0.74183,                0.48375,                 1.3316,                 1.5499,                 1.3801,                0.00846,                0.00846,                0.00846
                     72,                 1.3875,                 1.6448,                 1.3384,                0.76374,                0.68509,                0.74762,                0.48714,                 1.3281,                  1.545,                 1.3738,               0.008438,               0.008438,               0.008438
                     73,                 1.3873,                 1.6501,                  1.343,                0.78644,                0.67252,                0.74688,                0.49022,                 1.3271,                 1.5358,                 1.3652,               0.008416,               0.008416,               0.008416
                     74,                 1.3981,                 1.6576,                 1.3366,                0.78912,                0.67409,                0.74832,                0.48805,                  1.322,                 1.5257,                 1.3698,               0.008394,               0.008394,               0.008394
                     75,                 1.3874,                 1.6485,                 1.3407,                0.78546,                 0.6828,                0.75404,                 0.4951,                 1.3227,                 1.5296,                 1.3666,               0.008372,               0.008372,               0.008372
                     76,                 1.3933,                 1.6571,                 1.3454,                0.78317,                 0.6775,                0.75007,                0.49022,                 1.3173,                 1.5197,                 1.3598,                0.00835,                0.00835,                0.00835
                     77,                 1.3855,                  1.643,                 1.3342,                0.77161,                0.67854,                0.74758,                0.48748,                 1.3332,                 1.5362,                 1.3684,               0.008328,               0.008328,               0.008328
                     78,                 1.3936,                 1.6453,                 1.3371,                0.76182,                0.69007,                0.75267,                0.49191,                  1.335,                 1.5323,                 1.3758,               0.008306,               0.008306,               0.008306
                     79,                 1.3846,                 1.6534,                 1.3373,                0.77399,                 0.6824,                  0.752,                 0.4939,                 1.3196,                 1.5147,                 1.3561,               0.008284,               0.008284,               0.008284
                     80,                 1.3915,                 1.6564,                 1.3358,                0.77772,                0.68545,                0.75194,                0.49205,                 1.3173,                 1.5198,                 1.3644,               0.008262,               0.008262,               0.008262
                     81,                 1.3723,                 1.6096,                 1.3291,                0.77738,                0.68837,                0.75391,                0.49521,                 1.3148,                 1.5111,                  1.355,                0.00824,                0.00824,                0.00824
                     82,                  1.374,                   1.62,                 1.3266,                0.79095,                0.68607,                0.75977,                0.50125,                 1.3125,                 1.5084,                 1.3549,               0.008218,               0.008218,               0.008218
                     83,                 1.3844,                 1.6312,                 1.3347,                0.78962,                0.68369,                0.75651,                0.49631,                 1.3157,                  1.516,                 1.3612,               0.008196,               0.008196,               0.008196
                     84,                 1.3811,                 1.6249,                 1.3339,                0.77087,                0.69414,                0.75524,                 0.4973,                 1.3087,                 1.5081,                 1.3539,               0.008174,               0.008174,               0.008174
                     85,                 1.3739,                 1.6148,                 1.3305,                 0.7747,                0.68485,                0.75925,                0.49775,                 1.3043,                 1.4971,                 1.3468,               0.008152,               0.008152,               0.008152
                     86,                 1.3826,                 1.6308,                 1.3342,                0.78375,                0.69315,                0.76167,                0.50072,                 1.3143,                 1.4959,                 1.3572,                0.00813,                0.00813,                0.00813
                     87,                 1.3727,                 1.6038,                 1.3316,                0.79612,                0.69628,                0.76466,                0.50439,                 1.3117,                 1.4957,                 1.3516,               0.008108,               0.008108,               0.008108
                     88,                 1.3683,                 1.6068,                 1.3222,                0.78526,                0.69647,                0.75986,                0.50114,                 1.3131,                 1.4877,                 1.3558,               0.008086,               0.008086,               0.008086
                     89,                 1.3704,                 1.5834,                 1.3192,                0.78527,                 0.6956,                0.76058,                0.50103,                 1.3159,                 1.4919,                 1.3523,               0.008064,               0.008064,               0.008064
                     90,                 1.3615,                 1.5923,                 1.3135,                0.77986,                0.69352,                0.76277,                0.50237,                 1.3155,                 1.4969,                 1.3561,               0.008042,               0.008042,               0.008042
                     91,                 1.3798,                 1.5966,                 1.3227,                0.78497,                  0.695,                0.76447,                0.50272,                 1.3146,                 1.4798,                 1.3552,                0.00802,                0.00802,                0.00802
                     92,                 1.3506,                 1.5804,                  1.313,                0.78446,                0.70168,                0.76789,                0.50851,                 1.2983,                  1.472,                  1.347,               0.007998,               0.007998,               0.007998
                     93,                 1.3755,                 1.6154,                 1.3249,                0.79086,                0.69309,                0.76661,                0.50394,                 1.3051,                 1.4723,                 1.3436,               0.007976,               0.007976,               0.007976
                     94,                 1.3627,                 1.5735,                 1.3145,                0.77873,                 0.7036,                0.76598,                0.50368,                 1.3116,                 1.4887,                 1.3504,               0.007954,               0.007954,               0.007954
                     95,                 1.3737,                 1.6073,                 1.3252,                0.78077,                0.70225,                0.76627,                0.50424,                 1.3117,                 1.4727,                 1.3494,               0.007932,               0.007932,               0.007932
                     96,                 1.3647,                 1.5797,                 1.3234,                0.78689,                0.70333,                0.76629,                0.50533,                 1.3119,                 1.4886,                 1.3577,                0.00791,                0.00791,                0.00791
                     97,                 1.3524,                 1.5844,                 1.3141,                0.82024,                0.69472,                0.77025,                0.50613,                 1.3131,                 1.4674,                 1.3507,               0.007888,               0.007888,               0.007888
                     98,                 1.3493,                 1.5653,                 1.3088,                0.80341,                0.69569,                0.76949,                0.50828,                 1.3005,                 1.4785,                 1.3497,               0.007866,               0.007866,               0.007866
                     99,                  1.361,                  1.584,                 1.3114,                0.78975,                0.70566,                0.77116,                0.50807,                   1.31,                 1.4727,                 1.3477,               0.007844,               0.007844,               0.007844
                    100,                 1.3616,                 1.5767,                 1.3186,                0.78943,                0.70975,                0.77072,                0.50904,                 1.3091,                 1.4786,                 1.3615,               0.007822,               0.007822,               0.007822
                    101,                 1.3606,                 1.5754,                  1.313,                0.79103,                0.70225,                0.76592,                0.50624,                 1.3047,                 1.4568,                 1.3378,                 0.0078,                 0.0078,                 0.0078
                    102,                 1.3582,                 1.5764,                 1.3161,                0.79179,                0.70482,                0.77136,                0.51124,                 1.2997,                 1.4642,                 1.3438,               0.007778,               0.007778,               0.007778
                    103,                 1.3539,                 1.5582,                 1.3129,                0.78305,                0.70901,                0.77355,                0.51206,                  1.304,                 1.4594,                 1.3503,               0.007756,               0.007756,               0.007756
                    104,                 1.3501,                 1.5742,                 1.3036,                0.79127,                0.68932,                0.76679,                0.51046,                 1.3024,                 1.4632,                 1.3496,               0.007734,               0.007734,               0.007734
                    105,                 1.3609,                 1.5681,                 1.3099,                0.79616,                0.71407,                0.77612,                0.51106,                 1.3121,                 1.4494,                 1.3479,               0.007712,               0.007712,               0.007712
                    106,                 1.3568,                 1.5618,                 1.3101,                0.81039,                0.70237,                0.77561,                0.51332,                 1.3083,                 1.4491,                 1.3473,                0.00769,                0.00769,                0.00769
                    107,                  1.347,                 1.5524,                 1.3088,                0.81793,                0.69943,                0.77436,                0.51333,                 1.3001,                 1.4439,                 1.3438,               0.007668,               0.007668,               0.007668
                    108,                 1.3508,                  1.566,                 1.3091,                0.79925,                0.70377,                0.77186,                  0.509,                 1.3033,                  1.453,                 1.3447,               0.007646,               0.007646,               0.007646
                    109,                 1.3401,                  1.546,                 1.3112,                0.80376,                 0.7096,                0.77798,                0.51737,                  1.298,                 1.4373,                 1.3401,               0.007624,               0.007624,               0.007624
                    110,                 1.3485,                 1.5421,                 1.2995,                0.81067,                0.70591,                0.77859,                0.51518,                 1.2927,                 1.4382,                   1.34,               0.007602,               0.007602,               0.007602
                    111,                  1.354,                 1.5608,                 1.3065,                0.80673,                0.70627,                0.78042,                0.51474,                 1.3026,                 1.4405,                 1.3424,                0.00758,                0.00758,                0.00758
                    112,                  1.348,                  1.534,                 1.3016,                0.79404,                0.71827,                0.77791,                0.51321,                 1.3085,                 1.4445,                 1.3448,               0.007558,               0.007558,               0.007558
                    113,                 1.3413,                 1.5324,                 1.3017,                0.79318,                0.71504,                0.77701,                0.51561,                 1.2997,                 1.4358,                 1.3415,               0.007536,               0.007536,               0.007536
                    114,                 1.3379,                 1.5283,                 1.3018,                0.79662,                 0.7118,                0.77829,                 0.5134,                 1.2972,                 1.4425,                 1.3386,               0.007514,               0.007514,               0.007514
                    115,                 1.3495,                 1.5534,                 1.3048,                0.81079,                0.70442,                0.77637,                0.51302,                 1.2969,                 1.4405,                 1.3347,               0.007492,               0.007492,               0.007492
                    116,                 1.3357,                 1.5286,                 1.2995,                0.81278,                0.70602,                0.77677,                0.51622,                 1.2903,                 1.4278,                 1.3282,                0.00747,                0.00747,                0.00747
                    117,                  1.346,                 1.5371,                 1.3046,                0.79876,                0.71367,                0.78154,                0.51679,                  1.301,                 1.4379,                 1.3457,               0.007448,               0.007448,               0.007448
                    118,                 1.3453,                 1.5436,                 1.2991,                0.80527,                0.71759,                0.78132,                 0.5173,                 1.3003,                 1.4276,                  1.338,               0.007426,               0.007426,               0.007426
                    119,                 1.3428,                 1.5458,                 1.3058,                 0.7999,                 0.7182,                 0.7805,                0.51784,                 1.2987,                 1.4261,                 1.3357,               0.007404,               0.007404,               0.007404
                    120,                 1.3341,                 1.5294,                  1.303,                0.79526,                0.70766,                0.77579,                0.51338,                 1.3032,                 1.4359,                 1.3452,               0.007382,               0.007382,               0.007382
                    121,                 1.3407,                 1.5298,                 1.2971,                 0.7945,                 0.7053,                0.77709,                0.51782,                  1.288,                 1.4354,                 1.3357,                0.00736,                0.00736,                0.00736
                    122,                 1.3359,                 1.5158,                 1.2883,                0.81885,                0.71035,                 0.7828,                0.52082,                 1.2934,                  1.425,                 1.3313,               0.007338,               0.007338,               0.007338
                    123,                 1.3443,                 1.5327,                  1.299,                0.82099,                0.70552,                0.78273,                0.52196,                 1.2931,                 1.4183,                 1.3298,               0.007316,               0.007316,               0.007316
                    124,                 1.3329,                 1.4997,                 1.2907,                0.80529,                0.71719,                0.78336,                0.52051,                 1.2962,                 1.4278,                 1.3386,               0.007294,               0.007294,               0.007294
                    125,                 1.3296,                 1.5062,                 1.2909,                0.79706,                0.72275,                0.78234,                0.51979,                 1.2964,                  1.416,                 1.3385,               0.007272,               0.007272,               0.007272
                    126,                 1.3257,                 1.4885,                 1.2918,                0.81731,                0.71423,                0.78389,                0.52197,                 1.2904,                 1.4142,                 1.3317,                0.00725,                0.00725,                0.00725
                    127,                 1.3364,                 1.5239,                 1.2978,                  0.824,                 0.7091,                0.78315,                0.52256,                 1.2835,                 1.4113,                 1.3251,               0.007228,               0.007228,               0.007228
                    128,                 1.3363,                 1.5188,                 1.3025,                0.81141,                0.72044,                0.78333,                0.52046,                 1.2985,                 1.4199,                 1.3359,               0.007206,               0.007206,               0.007206
                    129,                 1.3251,                  1.501,                 1.2895,                0.79783,                0.72847,                0.78444,                0.52438,                 1.2808,                 1.4104,                   1.33,               0.007184,               0.007184,               0.007184
                    130,                 1.3289,                 1.5088,                 1.2918,                0.81197,                0.71603,                0.78273,                0.51982,                 1.2897,                 1.4045,                 1.3274,               0.007162,               0.007162,               0.007162
                    131,                 1.3437,                  1.518,                  1.299,                0.82092,                0.71541,                0.78328,                0.52104,                 1.2919,                 1.4117,                 1.3316,                0.00714,                0.00714,                0.00714
                    132,                 1.3177,                 1.4794,                 1.2835,                0.78872,                0.71938,                0.78148,                0.52011,                 1.2869,                 1.4125,                 1.3286,               0.007118,               0.007118,               0.007118
                    133,                 1.3296,                 1.5036,                 1.2916,                0.80148,                0.72078,                0.78276,                 0.5218,                 1.2871,                 1.4158,                 1.3323,               0.007096,               0.007096,               0.007096
                    134,                 1.3252,                 1.4854,                 1.2845,                0.81879,                0.70558,                0.78518,                0.52323,                 1.2966,                 1.4056,                 1.3328,               0.007074,               0.007074,               0.007074
                    135,                 1.3305,                 1.4986,                 1.2823,                0.82593,                0.71781,                0.79051,                0.52552,                 1.2898,                 1.3991,                 1.3279,               0.007052,               0.007052,               0.007052
                    136,                 1.3264,                 1.5132,                 1.2892,                0.79875,                 0.7255,                0.78797,                0.52497,                 1.2804,                 1.3896,                 1.3243,                0.00703,                0.00703,                0.00703
                    137,                 1.3258,                 1.5009,                 1.2916,                0.81809,                0.71822,                0.78765,                0.52658,                 1.2832,                 1.3918,                 1.3241,               0.007008,               0.007008,               0.007008
                    138,                 1.3163,                 1.4826,                   1.28,                0.81264,                0.72231,                0.78858,                 0.5273,                 1.2853,                 1.3917,                 1.3289,               0.006986,               0.006986,               0.006986
                    139,                 1.3291,                 1.4971,                 1.2847,                0.82464,                0.72045,                0.79295,                0.53236,                  1.279,                 1.3845,                 1.3234,               0.006964,               0.006964,               0.006964
                    140,                 1.3195,                 1.4786,                 1.2824,                0.82117,                0.71529,                0.78541,                0.52639,                 1.2838,                  1.381,                 1.3249,               0.006942,               0.006942,               0.006942
                    141,                 1.3097,                 1.4765,                 1.2775,                0.82771,                0.71101,                0.78714,                0.52429,                 1.2834,                 1.3903,                 1.3265,                0.00692,                0.00692,                0.00692
                    142,                 1.3218,                 1.4991,                  1.294,                0.81244,                0.72101,                0.78595,                0.52617,                 1.2857,                 1.3908,                  1.326,               0.006898,               0.006898,               0.006898
                    143,                 1.3271,                 1.4794,                 1.2907,                0.80852,                0.70956,                0.78167,                0.52381,                 1.2877,                 1.3832,                 1.3274,               0.006876,               0.006876,               0.006876
                    144,                 1.3248,                 1.4965,                 1.2906,                0.83168,                0.71284,                0.79066,                0.52741,                 1.2861,                 1.3956,                 1.3319,               0.006854,               0.006854,               0.006854
                    145,                 1.3295,                 1.5037,                  1.288,                0.80328,                0.72485,                0.78983,                0.52758,                 1.2863,                 1.3941,                 1.3316,               0.006832,               0.006832,               0.006832
                    146,                 1.3102,                 1.4673,                 1.2808,                0.82024,                0.72169,                0.79062,                0.52729,                 1.2852,                 1.3881,                 1.3297,                0.00681,                0.00681,                0.00681
                    147,                 1.3243,                 1.4893,                 1.2838,                0.84098,                0.70895,                 0.7881,                0.52625,                 1.2849,                 1.3894,                 1.3262,               0.006788,               0.006788,               0.006788
                    148,                 1.3143,                  1.483,                 1.2773,                0.81355,                0.72572,                 0.7901,                0.52992,                 1.2818,                  1.386,                 1.3242,               0.006766,               0.006766,               0.006766
                    149,                 1.3334,                 1.5027,                 1.2835,                0.80795,                0.72609,                0.78774,                0.52614,                 1.2876,                 1.3892,                 1.3209,               0.006744,               0.006744,               0.006744
                    150,                 1.3202,                 1.4788,                 1.2851,                0.83743,                0.70888,                0.78995,                0.53024,                 1.2853,                 1.3828,                 1.3259,               0.006722,               0.006722,               0.006722
                    151,                 1.3045,                 1.4679,                  1.276,                0.81235,                0.72359,                0.78812,                0.52643,                 1.2816,                 1.3944,                 1.3273,                 0.0067,                 0.0067,                 0.0067
                    152,                 1.3192,                  1.476,                 1.2751,                0.80639,                0.72691,                0.78942,                0.52761,                 1.2863,                 1.3839,                 1.3254,               0.006678,               0.006678,               0.006678
                    153,                 1.3239,                  1.499,                 1.2894,                0.82828,                0.71443,                0.78989,                 0.5315,                 1.2734,                 1.3739,                 1.3181,               0.006656,               0.006656,               0.006656
                    154,                 1.3075,                 1.4614,                 1.2706,                0.80578,                0.72776,                0.79217,                 0.5306,                 1.2769,                  1.376,                 1.3207,               0.006634,               0.006634,               0.006634
                    155,                 1.3109,                 1.4608,                 1.2763,                0.81083,                0.71979,                0.78598,                0.52783,                 1.2845,                 1.3797,                 1.3234,               0.006612,               0.006612,               0.006612
                    156,                 1.3134,                 1.4664,                 1.2743,                0.80868,                0.73633,                0.79059,                0.52868,                 1.2836,                 1.3646,                 1.3247,                0.00659,                0.00659,                0.00659
